DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2014.10.28,51470,53045,51465,52430,2201,0,0
2014.10.29,52000,52745,51150,51760,2951,0,0
2014.10.30,52250,53210,52030,52835,1776,0,0
2014.10.31,53560,55425,53510,55290,2101,0,0
2014.11.03,54710,54905,53610,54550,2431,0,0
2014.11.04,54560,55225,53985,54555,2476,0,0
2014.11.05,54500,54680,53955,54190,1141,0,0
2014.11.06,53740,53940,52835,52930,1401,0,0
2014.11.07,53400,54065,52750,53805,2226,0,0
2014.11.10,53900,54320,52920,52950,1851,0,0
2014.11.11,52910,53055,52435,52970,1181,0,0
2014.11.12,52940,53915,52665,53330,2111,0,0
2014.11.13,53510,53710,52140,52310,1941,0,0
2014.11.14,51930,52360,51310,52220,1811,0,0
2014.11.17,51890,52645,51395,51660,2271,0,0
2014.11.18,51690,52720,51510,52595,1516,0,0
2014.11.19,52440,54125,52330,53785,2246,0,0
2014.11.21,54430,57040,54270,56990,2981,0,0
2014.11.24,56840,57630,55620,55760,2941,0,0
2014.11.25,56010,56720,55530,55855,2226,0,0
2014.11.26,56250,56520,55275,55650,1891,0,0
2014.11.27,55685,56225,54810,55125,2271,0,0
2014.11.28,55105,55435,54735,54795,1091,0,0
2014.12.01,54435,54450,52070,52225,2551,0,0
2014.12.02,52570,52740,51605,51770,1471,0,0
2014.12.03,51910,52685,51850,52165,1416,0,0
2014.12.04,52900,52930,51210,51640,2181,0,0
2014.12.05,51810,52225,51510,52100,1141,0,0
2014.12.08,51700,51935,50085,50380,2381,0,0
2014.12.09,49975,50425,49500,50355,1471,0,0
2014.12.10,50600,50650,49840,50155,1176,0,0
2014.12.11,50145,50840,49175,50280,3196,0,0
2014.12.12,49700,50525,48755,48980,2821,0,0
2014.12.15,49240,49500,47120,47800,3321,0,0
2014.12.16,47840,48450,46500,47815,3876,0,0
2014.12.17,47700,50030,47540,49035,3646,0,0
2014.12.18,49745,50345,48895,49085,2241,0,0
2014.12.19,49535,50525,49300,50520,1466,0,0
2014.12.22,50405,50905,49825,50850,1716,0,0
2014.12.23,50755,51535,50455,51360,1556,0,0
2014.12.26,51360,51695,50535,50690,1651,0,0
2014.12.29,50770,51590,50500,51360,1591,0,0
2014.12.30,51385,51470,50270,50330,1346,0,0
2015.01.02,50250,50355,48815,49150,1981,0,0
2015.01.05,49040,49040,47745,48045,1596,0,0
2015.01.06,47850,48775,47570,48725,1536,0,0
2015.01.07,49135,50470,49080,50040,1876,0,0
2015.01.08,50100,50835,49480,50400,2411,0,0
2015.01.09,50270,50305,48950,49420,1861,0,0
2015.01.12,49525,49545,48365,48370,1206,0,0
2015.01.13,48615,49350,48340,48610,2016,0,0
2015.01.14,48065,48750,47685,48520,1676,0,0
2015.01.15,48245,49295,47945,48590,2356,0,0
2015.01.16,48275,49715,48195,49295,2021,0,0
2015.01.19,48880,49185,47835,48115,1936,0,0
2015.01.20,48550,49045,47915,48490,2201,0,0
2015.01.21,48445,49755,48310,49660,1676,0,0
2015.01.22,49860,50490,49570,49975,1726,0,0
2015.01.23,49570,49835,48750,48815,1416,0,0
2015.01.26,48410,48970,48175,48640,1361,0,0
2015.01.27,48260,49145,47780,48890,2101,0,0
2015.01.28,48180,48465,47735,47995,1276,0,0
2015.01.29,47675,48100,47395,47895,1191,0,0
2015.01.30,47480,47585,46480,47315,2046,0,0
2015.02.02,47340,48060,46910,48010,1631,0,0
2015.02.03,48460,49185,48425,49110,871,0,0
2015.02.04,49040,49880,48900,49415,1586,0,0
2015.02.05,49365,49945,49040,49520,1656,0,0
2015.02.06,49260,49415,48450,48805,1476,0,0
2015.02.09,48410,49750,48275,49675,1686,0,0
2015.02.10,49695,49865,48530,48695,1671,0,0
2015.02.11,48410,49420,48265,49300,1421,0,0
2015.02.12,49800,50525,49300,50280,1971,0,0
2015.02.13,50260,51725,50260,51685,1506,0,0
2015.02.18,51800,52815,51800,52105,1726,0,0
2015.02.19,51970,52470,51620,52115,1556,0,0
2015.02.20,52010,52295,51430,51985,1706,0,0
2015.02.23,51950,52520,51640,51950,1761,0,0
2015.02.24,51835,52780,51560,52623,1653,0,0
2015.02.25,51755,52610,51555,52450,1416,0,0
2015.02.26,52550,52850,51995,52595,1666,0,0
2015.02.27,52720,53200,52070,52310,1851,0,0
2015.03.02,52290,52420,51365,51705,1526,0,0
2015.03.03,51485,52080,51460,51930,796,0,0
2015.03.04,51490,51510,50930,51285,956,0,0
2015.03.05,51415,51450,50645,50885,1081,0,0
2015.03.06,50870,50930,50295,50595,996,0,0
2015.03.09,50240,50370,49430,49550,1191,0,0
2015.03.10,49015,49705,48595,48605,1811,0,0
2015.03.11,48835,50000,48735,49995,1371,0,0
2015.03.12,49640,50155,49090,49230,1721,0,0
2015.03.13,49070,49145,48175,49065,1936,0,0
2015.03.16,49050,49730,48745,49105,1916,0,0
2015.03.17,48910,50800,48895,50685,2036,0,0
2015.03.18,50535,52210,50210,51955,2581,0,0
2015.03.19,51755,51935,51105,51285,1191,0,0
2015.03.20,51510,52670,51365,52095,2026,0,0
2015.03.23,52215,52500,51845,52215,1311,0,0
2015.03.24,52515,52700,51270,52025,2371,0,0
2015.03.25,51755,52630,51730,52035,1521,0,0
2015.03.26,51780,51955,50580,50610,1581,0,0
2015.03.27,50780,50815,50065,50270,991,0,0
2015.03.30,50620,51500,50380,51485,1376,0,0
2015.03.31,51155,51670,50720,51245,1811,0,0
2015.04.01,51400,52810,51355,52615,1696,0,0
2015.04.02,52370,53525,52300,53225,1596,0,0
2015.04.06,53270,54290,53025,53785,2016,0,0
2015.04.07,53925,54150,53520,53910,1246,0,0
2015.04.08,54245,55140,54145,54710,1526,0,0
2015.04.09,54710,54950,53915,54500,1861,0,0
2015.04.10,54825,55315,54215,54715,2091,0,0
2015.04.13,55000,55755,54000,55110,3401,0,0
2015.04.14,55110,55605,54640,54955,1776,0,0
2015.04.15,55000,55940,54950,55895,1086,0,0
2015.04.16,55595,55830,55185,55615,1271,0,0
2015.04.17,55280,55335,54685,54930,951,0,0
2015.04.20,55150,55310,54280,54500,1411,0,0
2015.04.22,54515,55685,54220,55330,2116,0,0
2015.04.23,55070,56635,54720,56335,2566,0,0
2015.04.24,56380,57610,56350,57335,1566,0,0
2015.04.27,57405,57740,56040,56215,2211,0,0
2015.04.28,56085,56780,55730,56585,1601,0,0
2015.04.29,56420,56430,55780,56095,976,0,0
2015.04.30,55890,56960,55555,56930,1771,0,0
2015.05.04,57345,58275,57210,58190,1286,0,0
2015.05.05,57985,58890,57735,58860,1436,0,0
2015.05.06,58760,59240,57505,57985,2696,0,0
2015.05.07,57785,58065,57120,57625,1731,0,0
2015.05.08,57915,58485,57210,57765,2401,0,0
2015.05.11,58045,58135,57565,57600,696,0,0
2015.05.12,57220,57975,57110,57190,1701,0,0
2015.05.13,57500,57605,56755,57085,1286,0,0
2015.05.14,57170,57490,56575,57250,1751,0,0
2015.05.15,57280,57865,56885,57735,1506,0,0
2015.05.18,57750,58275,56330,56430,2571,0,0
2015.05.19,56735,56835,55505,55950,1876,0,0
2015.05.20,55615,56120,55185,55235,1491,0,0
2015.05.21,55140,55715,54830,55710,1201,0,0
2015.05.22,55105,55815,54375,54785,2561,0,0
2015.05.25,54795,55270,54135,54970,2096,0,0
2015.05.26,54930,54930,53820,53840,1131,0,0
2015.05.27,54010,55285,53995,54500,2091,0,0
2015.05.28,54020,55000,53605,54090,2721,0,0
2015.05.29,54005,54805,52930,52985,2731,0,0
2015.06.01,53245,54315,52865,54000,2146,0,0
2015.06.02,53220,55000,53150,54800,2121,0,0
2015.06.03,54445,55160,53650,53675,2251,0,0
2015.06.05,53915,54260,52915,53900,2676,0,0
2015.06.08,53800,54255,52865,52865,1846,0,0
2015.06.09,53640,54260,53000,53750,2411,0,0
2015.06.10,53000,55150,53000,54700,2601,0,0
2015.06.11,54640,55335,54415,54660,1821,0,0
2015.06.12,54520,54615,53295,53310,1431,0,0
2015.06.15,54000,54195,53450,54180,1311,0,0
2015.06.16,53670,54930,53670,54680,1511,0,0
2015.06.17,54690,54760,53860,53960,1071,0,0
2015.06.18,54070,55325,54005,55185,1526,0,0
2015.06.19,54820,54910,54325,54560,911,0,0
2015.06.22,54860,55280,54505,54730,1421,0,0
2015.06.23,54970,55255,54480,54530,1111,0,0
2015.06.24,54415,55105,54240,54600,1546,0,0
2015.06.25,54755,54790,53620,54040,1626,0,0
2015.06.26,54045,54900,53750,54780,1566,0,0
2015.06.29,53825,54530,53345,53770,2316,0,0
2015.06.30,54120,54160,53535,53860,991,0,0
2015.07.01,54255,54255,53295,53460,1126,0,0
2015.07.02,53620,54065,53415,53780,1141,0,0
2015.07.03,53725,53725,52935,53055,911,0,0
2015.07.06,52640,53305,52215,52845,1976,0,0
2015.07.07,52625,53080,51650,53035,2451,0,0
2015.07.08,52425,52985,52100,52180,1526,0,0
2015.07.10,52900,53370,52700,53100,1141,0,0
2015.07.13,53350,53715,53070,53570,1071,0,0
2015.07.14,53410,53945,53175,53720,1231,0,0
2015.07.15,53750,53855,53225,53500,1011,0,0
2015.07.16,53715,53910,53130,53550,1396,0,0
2015.07.17,53550,53760,52600,52610,1381,0,0
2015.07.20,52760,52870,51885,52015,1226,0,0
2015.07.21,52060,52360,51580,51830,1331,0,0
2015.07.22,51115,51555,50900,51120,1306,0,0
2015.07.23,51055,51380,49840,49845,1871,0,0
2015.07.24,49710,50050,48905,49480,2061,0,0
2015.07.27,49000,49545,48820,49110,1341,0,0
2015.07.28,49310,50065,49115,49905,1306,0,0
2015.07.29,49890,50545,49535,50325,1586,0,0
2015.07.30,50500,50840,49760,49995,1656,0,0
2015.07.31,50070,51115,49940,51100,1321,0,0
