DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2016.05.23,9913,9971,9806,9836.5,2536,0,0
2016.05.24,9797,10122.5,9768.5,10103.5,4016,0,0
2016.05.25,10144.5,10232.5,10128,10203.5,1501,0,0
2016.05.26,10175.5,10287,10174.5,10263,1376,0,0
2016.05.27,10293,10306,10241.5,10296.5,1256,0,0
2016.05.30,10319,10348.5,10285,10348.5,976,0,0
2016.05.31,10356,10374,10229,10269,2031,0,0
2016.06.01,10257,10286,10161,10212,2051,0,0
2016.06.02,10176.5,10257,10152.5,10253.5,1321,0,0
2016.06.03,10253,10284.5,10039,10110.5,3486,0,0
2016.06.06,10123,10152,10091.5,10124.5,1196,0,0
2016.06.07,10156,10316,10156,10253.5,2226,0,0
2016.06.08,10261.5,10269.5,10175.5,10226,1526,0,0
2016.06.09,10201.5,10211,10033.5,10080.5,2341,0,0
2016.06.10,10053.5,10069.5,9760.5,9792,3566,0,0
2016.06.13,9694,9742.5,9586,9607.5,2266,0,0
2016.06.14,9603.5,9620,9492.5,9560,2116,0,0
2016.06.15,9555,9654.5,9547.5,9567,2021,0,0
2016.06.16,9465,9653.5,9420,9647,2851,0,0
2016.06.17,9644,9712,9565,9700.5,2376,0,0
2016.06.20,9917.5,9983.5,9838,9914.5,2881,0,0
2016.06.21,9961,10110,9918,10052.5,2926,0,0
2016.06.22,10086.5,10141,10032.5,10035.5,1661,0,0
2016.06.23,10145.5,10338,10092.5,10311.5,3251,0,0
2016.06.24,9280.5,9706,9152,9476,9126,0,0
2016.06.27,9431,9579,9201,9336.5,6616,0,0
2016.06.28,9403,9543.5,9397,9500,1961,0,0
2016.06.29,9537,9630,9493,9604,2071,0,0
2016.06.30,9597,9783.5,9501,9744,4181,0,0
2016.07.01,9717,9794.5,9645.5,9743,2721,0,0
2016.07.04,9774,9799.5,9686.5,9721.5,1736,0,0
2016.07.05,9674.5,9677.5,9453,9476.5,2511,0,0
2016.07.06,9438,9521,9290.5,9427,4501,0,0
2016.07.07,9423,9496,9351,9386.5,2536,0,0
2016.07.08,9373.5,9643.5,9356.5,9622.5,3251,0,0
2016.07.11,9706,9833.5,9675,9776,2471,0,0
2016.07.12,9792.5,10004.5,9785.5,9938.5,2921,0,0
2016.07.13,9935.5,9991.5,9889.5,9917.5,1861,0,0
2016.07.14,9940.5,10100.5,9940,10054.5,2071,0,0
2016.07.15,10028,10091,9964,10052,2301,0,0
2016.07.18,10098,10154,10000,10044,2541,0,0
2016.07.19,10023,10043,9911,9973.5,2146,0,0
2016.07.20,9995.5,10138.5,9978,10110,2066,0,0
2016.07.21,10125,10188.5,10078.5,10113.5,2086,0,0
2016.07.22,10106.5,10173.5,10059,10150,1856,0,0
2016.07.25,10122,10256,10109.5,10180,2351,0,0
2016.07.26,10213.5,10269,10138,10253,2226,0,0
2016.07.27,10275.5,10345,10273,10285.5,1341,0,0
2016.07.28,10298,10379.5,10258,10338,2031,0,0
2016.07.29,10328,10353.5,10279.5,10334.5,1416,0,0
2016.08.01,10439.5,10467.5,10270.5,10292.5,2471,0,0
2016.08.02,10300.5,10335.5,10110.5,10143,2926,0,0
2016.08.03,10126,10210,10088,10209,1611,0,0
2016.08.04,10246,10279.5,10175.5,10229,1911,0,0
2016.08.05,10240.5,10370.5,10208,10361.5,2041,0,0
2016.08.08,10426.5,10475.5,10396,10428,1576,0,0
2016.08.09,10418,10700,10408.5,10670.5,3306,0,0
2016.08.10,10687.5,10706,10630,10641,1056,0,0
2016.08.11,10672,10739,10629.5,10726.5,1646,0,0
2016.08.12,10724,10733.5,10680,10701.5,846,0,0
2016.08.15,10729,10803,10710,10727,1841,0,0
2016.08.16,10699,10737,10630,10659,1741,0,0
2016.08.17,10674.5,10702,10511,10609,3166,0,0
2016.08.18,10613,10626,10546.5,10595.5,1416,0,0
2016.08.19,10610.5,10618.5,10488.5,10558,2076,0,0
2016.08.22,10533,10656.5,10385,10512,5221,0,0
2016.08.23,10515.5,10624.5,10509,10583.5,1631,0,0
2016.08.24,10554.5,10651,10514,10586.5,2421,0,0
2016.08.25,10609,10612,10465.5,10505,1891,0,0
2016.08.26,10507,10613.5,10452,10522.5,3076,0,0
2016.08.29,10519,10570.5,10436.5,10568.5,2186,0,0
2016.08.30,10575,10687,10571.5,10647.5,1586,0,0
2016.08.31,10641.5,10665,10550.5,10587,1746,0,0
2016.09.01,10615.5,10665.5,10477.5,10557,3176,0,0
