DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2016.05.09,44.98,45.9,43.22,43.23,362,362,0
2016.05.10,43.17,44.76,43.01,44.49,219,219,0
2016.05.11,44.59,46.33,43.95,45.96,340,340,0
2016.05.12,45.97,47.7,45.77,47.19,265,265,0
2016.05.13,47.16,47.27,46.51,47.04,141,141,0
2016.05.16,47.07,48.64,46.87,48.6,202,202,0
2016.05.17,48.59,49.39,48.18,49.22,180,180,0
2016.05.18,49.15,49.53,48.31,48.41,171,171,0
2016.05.19,48.39,48.73,47.25,48.72,264,264,0
2016.05.20,48.69,49.26,47.94,48.42,238,238,0
2016.05.23,48.45,48.46,47.39,48.07,177,177,0
2016.05.24,48.06,49.23,47.63,49.08,219,219,0
2016.05.25,49.05,49.73,48.64,49.67,157,157,0
2016.05.26,49.65,50.17,49.21,49.36,164,164,0
2016.05.27,49.29,49.56,48.68,49.55,151,151,0
2016.05.30,49.54,49.69,49.06,49.59,122,122,0
2016.05.31,49.6,50.07,48.79,48.82,179,179,0
2016.06.01,48.73,49.23,47.73,48.88,286,286,0
2016.06.02,48.86,49.44,47.96,49.01,282,282,0
2016.06.03,49,49.38,48.31,48.81,196,196,0
2016.06.06,48.82,49.86,48.69,49.69,148,148,0
2016.06.07,49.7,50.5,49.41,50.38,151,151,0
2016.06.08,50.39,51.58,50.31,51.49,145,145,0
2016.06.09,51.43,51.62,50.22,50.4,178,178,0
2016.06.10,50.45,50.69,48.8,48.86,220,220,0
2016.06.13,48.82,49.25,48.15,48.54,193,193,0
2016.06.14,48.49,48.67,47.83,47.84,104,104,0
2016.06.15,47.86,48.69,47.26,47.45,246,246,0
2016.06.16,47.43,48.08,46.43,46.53,241,241,0
2016.06.17,46.49,48.86,46.38,48.81,265,265,0
2016.06.20,48.91,49.97,48.71,49.77,167,167,0
2016.06.21,49.78,50.36,48.84,50.16,267,267,0
2016.06.22,50.17,50.51,48.39,48.96,304,304,0
2016.06.23,49.1,50.19,49.07,50.14,121,121,0
2016.06.24,50.29,50.41,46.67,47.51,471,471,0
2016.06.27,47.76,47.93,45.82,46.58,305,305,0
2016.06.28,46.57,48.13,46.51,48.08,174,174,0
2016.06.29,48.03,49.96,47.96,49.5,254,254,0
2016.06.30,49.51,49.57,48.16,48.33,165,165,0
2016.07.01,48.34,49.25,47.88,49.25,184,184,0
2016.07.04,49.15,49.33,48.64,48.74,98,98,0
2016.07.05,48.7,48.7,46.36,46.83,282,282,0
2016.07.06,46.81,47.9,45.91,47.88,292,292,0
2016.07.07,47.82,48.23,44.87,45.17,408,408,0
2016.07.08,45.18,45.93,44.75,45.12,231,231,0
2016.07.11,45.05,45.73,44.4,44.5,212,212,0
